Tweets,ID,Date,Likes,Retweets,Sentiment
"Wining against who ppl of India by fooling them I just wish u could understand what he has done look at ur GDP , COVID 19 cases , China occupied ur land fights between to religions shame on you if you say he is wining and using support of Kangna and Aranab to fool ppl of India ",1.31E+18,10/10/2020 15:12,0,0,0
"Saving grace is with all the Big Tech coming into health post covid, Nephrology will be one the first which benefit from A.I and predictive algorithms. It’s significant that chose AKI to study via . A lot we do can be done by machine learning",1.31E+18,10/10/2020 14:53,1,0,2
"Day 3: Headache, tiredness.. Is it Rhino withdrawal symptoms :p or is it COVID-19 Mmm",1.31E+18,10/10/2020 14:47,1,0,0
Trade 2020 But will the valuation endure with the desire global creative combustion Post this hell that is and there will be a backlash at all the excuses,1.31E+18,10/10/2020 14:06,1,0,0
My birthday is in less than a month. Thinking about having a celebration. But Covid.... So I’ve contacted a clinic who can come and test my guests right before the celebration and give them speedy results so we can enjoy safely  Yes I am tusty. I just wanna have fun,1.31E+18,10/10/2020 13:14,0,0,2
Fascinating article about in the era,1.31E+18,10/10/2020 12:08,0,0,2
Russian Doctors Covid Vaccine is accepted but the indian doctors graduated from Russia’s top MBBS universities are not accepted,1.31E+18,10/10/2020 12:08,1,1,0
Our Health Minister doesn’t know about corona warrior Martyrs and do not have respect for doctors,1.31E+18,10/10/2020 12:03,1,1,0
"Road to glory  After coronavirus lockdown, need to get that energy and shape back again. ",1.31E+18,10/10/2020 11:51,3,0,2
"0.8% Coronavirus: UAE reports 1,129 Covid-19 cases, 1,070 recoveries, 1 death ",1.31E+18,10/10/2020 11:26,1,0,1
Mental Health Day: War and Covid-19 strain leave many in Middle East suffering in silence  via,1.31E+18,10/10/2020 10:41,0,1,0
The best quarantine fruit,1.31E+18,10/10/2020 10:37,2,0,2
It’s not aljaira it’s Al Jazeera Lol falsely propaganda dude please let me know but you won’t have an answer to it that’s why u guys came to do the IPL here  u couldn’t control COVID-19 so don’t let me start,1.31E+18,10/10/2020 10:17,0,0,0
How on earth is this real estate company called Square Yards saying they r doing record sales during covid time while all others suffering  Plus this company is aggressive on ads and hiring Something is fishy,1.31E+18,10/10/2020 9:09,1,0,0
Safely Reached in Hyderabad our Gulf blue color workers. But they are facing problems for quarantine. They don’t have any money in hand to pay please don’t force them to pay,1.31E+18,10/10/2020 8:36,2,0,2
"Please make sure you get the necessary approval before protesting in dubai bcoz of the covid restrictions right now, as the government has number of people they want to see in a place at a time , peace and God bless Nigeria",1.31E+18,10/10/2020 8:28,2,0,2
There must also be a created for Expatriate Workers still employed to visit our motherland We still contribute to valuable Reserves and have nowhere else to visit The current Quarantine process of 4 weeks (2 in hotel 2 @ home) is not feasible 2/2,1.31E+18,10/10/2020 7:44,4,0,0
UAE has now carried out more than 10 million COVID-19 tests,1.31E+18,10/10/2020 7:23,2,0,2
"Morocco’s  king calls for vigilance, national unity ",1.31E+18,10/10/2020 7:08,1,0,2
With all hope and the belief in the promise by the concern facility I volunteered for covid 19 vaccine . I was promised for a privilege of unrestricted travel to Dubai and Abudhabi.. After completing my second dose the volunteer tag is missing,1.31E+18,10/10/2020 4:05,0,0,0
The Lord is enthroned eternally in Heaven and He is Coming back to receive His own. The Coronavirus is a warning to the church to prepare for the coming of Messiah,1.31E+18,09/10/2020 20:47,1,0,0
If you survive the covid-19 and fail to return to the LORD Just know that your lukewarmness is taking you to hell.,1.31E+18,09/10/2020 19:36,28,3,0
"A 10% of the earth might be infected with Covid-19 ,such a scary moment as that is about 800,000 million people, this only tell us that without The Lord the world is in for devastation like never before.",1.31E+18,09/10/2020 19:23,5,1,0
"If Coronavirus is only passing greetings to this generation, Do you think you will survive the GREAT tribulation Please prepare Now to get out of here for no one Will survive",1.31E+18,09/10/2020 19:07,6,0,0
"This is the hour to make things right with God, when you see the Corona Virus just know that the earth is not our home. ",1.31E+18,09/10/2020 19:04,11,2,2
"Interesting that you say ‘religion’. If you’re going to go full on, name the religion you’re referring to, Captain Coronavirus",1.31E+18,09/10/2020 18:38,0,0,2
"This is the church that is on fire there is no where on earth that Cripples are walking , no Miracles are happening , Even amidst the COVID-19 churches out there have gone cold . EXCEPT HERE WHERE GOD HAS RESIDED  ",1.31E+18,09/10/2020 18:24,3,0,0
"Can't leave the UAE as of right now. Unfortunately, with the restrictions and quarantine upon return... It's a mess. One day soon when COVID19 disappears...",1.31E+18,09/10/2020 18:13,1,0,0
has begun with power nobody should miss this service owing to the fact that healings are happening in the midst of the dreadful Judgment of coronavirus what manner of love by THE LORD,1.31E+18,09/10/2020 18:09,9,1,0
Seniors First in collaboration with IBPC invites you to this insightful talk. COVID: lessons learnt and challenges ahead on 10th Oct. Meeting link:,1.31E+18,09/10/2020 16:58,2,1,2
finally overcame my fear of doing the corona test feeling emotional right now,1.31E+18,09/10/2020 16:32,0,0,2
The sudden covid cases in Sri Lanka wow,1.31E+18,09/10/2020 15:16,13,0,0
The rasam book has met with some delays because of COVID and Usha’s very fragile health. But she is working v hard to make them both available freely soon,1.31E+18,09/10/2020 13:51,2,0,2
Come out of your comfort zone and see the ground reality. The number of People getting infected by Covid 19 is huge day by day and still you guys want to conduct 18 days long exams Open your eyes sIr,1.31E+18,09/10/2020 12:05,6,4,0
The rasam book has been delayed because of COVID and her extremely fragile health. But will keep you posted :),1.31E+18,09/10/2020 11:50,0,0,2
"BLOOD NEEDED: Hi All, my friend Dad is admitted to Yatharth Hospital, Greater Noida (strictly non-covid hospital). He is a recovering Covid patient and has been tested negative 15 days ago.",1.31E+18,09/10/2020 9:59,0,1,1
"When I remember, the will continue until the end of 2022  ",1.31E+18,09/10/2020 9:33,0,0,1
Fait ton Test Pcr Covid-19 et prend ton billet kestia,1.31E+18,09/10/2020 9:26,1,0,1
Hamad becomes first airport to be BSI accredited for COVID-19 health measures - Airport World,1.31E+18,09/10/2020 8:24,0,0,2
"True words folks  @ Dubai, United Arab Emirates ",1.31E+18,09/10/2020 8:03,0,0,1
Unfortunately we as Expatriate Workers r treated as 2nd class citizens in our country We who remain employed and still contribute to valuable Forex reserves have no to enable us to visit 4 weeks Quarantine (2 in hotel 2 @ home) is not feasible,1.31E+18,09/10/2020 7:41,3,1,0
Wall cladding is the unique item you can add to your value home 0555086236,1.31E+18,09/10/2020 7:34,0,0,1
2nd covid test came out negative. we move,1.31E+18,09/10/2020 6:52,2,2,2
Tryna find this energy somewhere again but damn covid be shittin :(,1.31E+18,09/10/2020 6:36,3,0,0
"Throwback on Feb 21, BTS ON Comeback reaction with UAE ARMYs (before covid) We just checked and the video has now 730k+ views with 15k likes  •Watch here:  •Subscribe:  Let’s get together soon ARMYS ",1.31E+18,09/10/2020 6:13,11,1,1
Am I required to take a PCR COVID test before travelling back to the UK from Dubai Thanks for your help,1.31E+18,09/10/2020 6:00,0,0,1
Me too She has been pushed back by COVID and her own health but it should be done soon.,1.31E+18,09/10/2020 4:21,0,0,2
NEWS:  RDA Out (COVID) Islam Makhachev calls out and (swipe ) —- PICK 1- Makhachev vs Chandler 2- Makhachev vs Hooker —- @ Yas Island,1.31E+18,09/10/2020 2:12,5,0,1
I worry the effects of the Orange Clown's covid drug cocktail will necessitate McFly take the rudder across last 2 weeks of of the shit show before Biden/Harris take over...,1.31E+18,09/10/2020 1:55,0,0,0
"One more COVID-19 Pandemic puzzle down. Since it is 2020, one puzzle piece is missing. Appropriate for 2020... @ Somewhere on the Earth ",1.31E+18,09/10/2020 1:10,0,2,2
The place seemed nice but corona had taken its toll on it plus I didn't jig someone to pay my drinks.,1.31E+18,08/10/2020 19:56,0,0,0
Not at all. 9 Tests done. All negative. Thankfully,1.31E+18,08/10/2020 19:46,802,16,2
well done,1.31E+18,08/10/2020 19:34,1,0,2
Fin Covid-19,1.31E+18,08/10/2020 18:26,1,0,2
"When we adults were busy cribing about covid, the youngsters wrote down stories. Some became poets, others wrote prose, some let their imaginations run wild. is free for download till Sunday. Get your copies and get lost in stories over the weekend. ",1.31E+18,08/10/2020 17:28,13,8,2
Plusssss I cannot get in AD cause I need a negative covid test,1.31E+18,08/10/2020 16:25,0,0,0
"Omoh this Covid-19 test nor be easy thing ohh, see me go hospital today to do the test only for collect sample na pains be this I see for other people, I just Waka run come back for house  That syringe  insertion into the nostrils is fucking painful.",1.31E+18,08/10/2020 16:04,1,0,0
Lets learn more about all preventive measures to reduce the risk of getting COVID-19 and stop the spread of the virus,1.31E+18,08/10/2020 14:16,0,0,2
Kitne logoko chup karenge ye logThey dnt speak wen sadhus brutally killed in front of policewen disha n ssr got killedthey didnt speak wen mumbai becomes capital of coronathey didnt speak wen ofc got razed by bmcthey didnt speak wen they called kangana ”__khor”,1.31E+18,08/10/2020 13:59,0,0,0
Oh great. I used to visit AUH often... But not now due to covid restrictions,1.31E+18,08/10/2020 12:55,1,0,0
Praying for cebu to be COVID-FREE ASAP And for the world too,1.31E+18,08/10/2020 11:52,2,0,2
People to me: Take life positively. Life to me: you are covid positive,1.31E+18,08/10/2020 11:31,0,0,2
Don’t jinx it you knob. Watch them all come back with Covid.,1.31E+18,08/10/2020 11:01,0,0,0
"Now, it's a wave and is in vacation. Apdi thaane ",1.31E+18,08/10/2020 10:57,4,2,1
"I think it’s as this is going to create a massive inflation worldwide. 2020 is Covid year, 2021 will be bankrupted banks and countries. I think I’ll get some more and other to avoid being a bichon if the coming ",1.31E+18,08/10/2020 10:34,37,11,0
I RESIGNED FROM TWO JOBS IN JUST TEN DAYS IN SECOND WAVE OF CORONA PANDE...  via,1.31E+18,08/10/2020 10:01,0,0,0
Another reminder...coming from the honourable President of India. Unlocking does not mean that Covid-19 is over. Be safe,1.31E+18,08/10/2020 9:29,623,13,1
Global airlines are set to lose up to $70 billion in 2021 due to the Coronavirus pandemic. (IATA),1.31E+18,08/10/2020 8:11,0,0,0
"South Africa's largest trade unions held nationwide protests on Wednesday to protest the high level of job destruction, poor state of transport, corruption and lack of measures to combat the deep crisis in the country caused by the coronavirus pandemic.",1.31E+18,08/10/2020 8:05,0,0,0
Kenya’s unemployment doubled from 5.2% in March to 10.4% on 1st September 2020. Kenya’s once profitable tourism sector has been hard hit due to Covid-19. Many businesses which depend on tourist spending have seen a sharp downturn. (Kenya National Bureau of Statistics),1.31E+18,08/10/2020 8:01,1,0,0
The latest edition no 23 for GCC Newsletter in three language highlights the support to  and  Beside data.,1.31E+18,08/10/2020 7:44,0,0,1
Canada Opens Borders to Students Going to COVID Ready Institutions- WhatsApp us &gt;&gt;  is about to allow travel to the county from the 20th of October.,1.31E+18,08/10/2020 4:28,0,0,2
"She said it straight, the Trump administration always lay the blame game, obssesed with Obama and canceled disease expert set in place for monitoring diseases, Covid-19 has hit America so badly",1.31E+18,08/10/2020 1:58,2,0,0
"""Corona being the most dangers player at the moment"" one commentor just said... guess he's not yet really up-to-date with the world pandemic... Lol ",1.31E+18,07/10/2020 20:08,1,0,2
"Nope, very much here and now. Someone connected with me a few weeks back - ‘corona survivor’ as his title.",1.31E+18,07/10/2020 18:21,1,0,2
Good action of the day  lost his job because of covid in March. A little help for him to keep his head up until things go back to normal  Good luck to you Rolando,1.31E+18,07/10/2020 17:34,30,3,2
"Dismantling 9-to-5 office paradigm was supposed to be one of COVID’s few silver linings. But habits are hard to break. And now, despite ongoing pandemic, employees are worldwide are trudging back into offices, at behest of their employers—begging the question: WHY. ",1.31E+18,07/10/2020 17:21,2,0,0
Covid test negative  they let me board bro.,1.31E+18,07/10/2020 17:19,3,0,2
My work mate barely knew each other; wanted us to go together to do the Covid test so I won’t be scared,1.31E+18,07/10/2020 15:36,0,0,2
ICA approval must for non-Dubai residents arriving at Dubai airport,1.31E+18,07/10/2020 15:30,0,0,1
Covid patients are not criminals,1.31E+18,07/10/2020 14:21,0,0,0
I’ve done Christmas here once and had an amazing time but definitely heading back. I’ve been here all summer - need a break Quarantine at home just means Prosecco by the fire for me,1.31E+18,07/10/2020 13:33,1,0,2
"The new BMW 730 2020 Now available for rent, for inquiries or any further information feel free to contact us: +971561114153 Follow us on Instagram :  ",1.31E+18,07/10/2020 13:08,0,0,1
In this article by our Dubai-based GCC representative Frederic Paquay we look at some of the reasons why this construction giant has become a victim of the ongoing Covid-19 crisis. Read more below.,1.31E+18,07/10/2020 11:30,1,0,1
"hello doctor. Attached is my IgG report. With the antibody readings indicated, how should I interpret my immunity to Covid-19 ",1.31E+18,07/10/2020 11:22,0,0,1
Let's play lfc-covid-bingo...,1.31E+18,07/10/2020 11:10,1,0,1
I wouldn't show up to a personal appointment with a person who has repeatedly demonstrated recklessness when it comes to protecting themselves and others from Covid... or a debate.,1.31E+18,07/10/2020 10:18,67,3,0
"Negative is good to have for COVID 19 test result not from the INDIVIDUAL person @ Abu Dhabi, United Arab Emirates ",1.31E+18,07/10/2020 9:56,0,0,2
"Totally respect the rules which are in place here, but all the same I'll be sad if I can't travel to cover races in and this season. Don't mind paying for the occasional Covid test, but can't really do it every week.",1.31E+18,07/10/2020 9:55,7,0,0
Planning a joyride these weekend offers × with amazing deals and negotiable rates. What are you waiting for BOOK NOW +971561114153,1.31E+18,07/10/2020 8:12,0,0,0
Pass me the ball coach  Sorry young fella.....no equipment sharing at Haddins at the moment @ Haddins Fitness,1.31E+18,07/10/2020 7:40,1,1,1
"Top 10 pharmaceutical in the by market value at the end of 2019 In your opinion, can the industry turn into a fundamental pillar for global with the spread of the Covid-19 pandemic ",1.31E+18,07/10/2020 6:15,3,2,2
Link :  . . .,1.31E+18,07/10/2020 4:51,1,0,1
"Hi sir/madam, I put ticket on this year July month but this covid situation my ticket is cancelled so kindly refund my ticket money. My ticket PNR is QJPJRC best regards, Ashraf Abdul Azees",1.31E+18,07/10/2020 4:50,0,0,1
"Teachers in the UAE, how many have given thought to Christmas/winter break holiday plans yet It’s only two months now and neither of my partner and I’s countries are readily open or without a quarantine yet but absolutely desperate to get away for a couple of weeks.",1.31E+18,07/10/2020 3:45,8,1,0
2500 yrs and yet it’s all perfect Here we are struggling to find a vaccine for covid in 2020,1.31E+18,06/10/2020 18:23,0,0,0
"before corona  Jokes apart - I visited this beautiful country for the first time in 1998 and it was more desert than glitzy glass back then. However, the shopping centres were still jazzy",1.31E+18,06/10/2020 18:14,1,0,2
"Book Launch Happening Now...discussing the education implications of COVID-19 and planning for education in the future @ Dubai, United Arab Emirates ",1.31E+18,06/10/2020 17:13,0,1,1
"We will need to burn you at the stake. On a platform of idlis PS - try it with a dash of ghee, must be fresh. With quality chutney, sambar. If still no go, you have COVID-19 symptoms, see doc immediately.",1.31E+18,06/10/2020 16:30,3,0,1
In person as messages again can be misconstrued and what not and sort it out once both of you are clear to do so since you’re pregnant and also covid free. It’s the more better approach rather then writing to authorities or bosses and so on. Just saying.,1.31E+18,06/10/2020 15:44,0,0,1
I kinda love how covid-19 made everything turn digital,1.31E+18,06/10/2020 15:14,5,2,2
Every government on earth has claimed success in fighting Covid,1.31E+18,06/10/2020 13:14,1,0,2
His really good hearted person he saved our Telangana India  300people in corona time he provided Sharjah Police Academy for 45 days Accomdation for blue color labors. Who’s suffered without job and accommodation. H.H Shaik Sultan Great  Leader I always pray for your health,1.31E+18,06/10/2020 12:43,0,0,2
I got test coronavirus negative 5th,1.31E+18,06/10/2020 11:51,3,0,2
did trump really have Covid,1.31E+18,06/10/2020 11:44,0,0,1
are we going through a second wave,1.31E+18,06/10/2020 11:26,0,0,1
"Also OTT, Ava Duverney dog piling on here because she chose to react to the POTUS catching covid differently to how you feel",1.31E+18,06/10/2020 10:15,0,0,0
Wow. I was in contact with a COVID patient ..,1.31E+18,06/10/2020 10:13,0,0,1
With all hope and the belief in the promise by the concern facility I volunteered for covid 19 vaccine . I was promised for a privilege of unrestricted travel to Dubai and Abudhabi.. After completing my second dose the volunteer star on app is missing,1.31E+18,06/10/2020 8:59,0,0,0
With all hope and the belief in the promise by the concern facility I volunteered for covid 19 vaccine . I was promised for a privilege of unrestricted travel to Dubai and Abudhabi.. After completing my second dose the volunteer tag is missing .. kindly help,1.31E+18,06/10/2020 8:54,0,0,2
"His negatives - from mishandling Covid to communal bias to Hathras - are adding up. When there are too many, EVERY neta is defeated. Remember  - even Indira Gandhi, unimaginably powerful during the Emergency, got defeated in 1977.",1.31E+18,06/10/2020 8:09,0,0,1
"Madagascar launched a capsule version of a herbal drink called 'Covid-Organics' as a coronavirus treatment. The organics is derived from artemisia — a plant with proven anti-malarial properties and other herbs but, WHO issued several warnings against its use.",1.31E+18,06/10/2020 7:39,8,11,0
"I’m 8 months pregnant and with Covid I don’t think it’s the safest option, unfortunately",1.31E+18,06/10/2020 7:28,2,0,0
Damn. Trump is now throwing up blood after getting Covid,1.31E+18,06/10/2020 6:58,9,2,0
I volunteered for covid 19 vaccine . I was promised for a privilege of unrestricted travel to Dubai and Abudhabi.. After completing my second dose the volunteer tag is missing . I have been continuously trying to contact in all the possible contact sources since 21st September,1.31E+18,06/10/2020 6:14,0,0,0
President Trump Appears To Struggle Breathing,1.31E+18,06/10/2020 3:12,1,0,0
Don’t be afraid of Covid .. be terrified of me winning the election again - Trump,1.31E+18,05/10/2020 20:24,0,0,1
"I have so many plans for this winter, i really hope corona won’t ruin it.",1.31E+18,05/10/2020 20:22,0,0,0
I am not a fan of making clips...but for now I will leave it here. I am coming homeand I just can't explain how exciting it is for me.  Going home at the time of COVID.,1.31E+18,05/10/2020 19:50,50,0,2
No signs of Covid. Drinking much,1.31E+18,05/10/2020 19:34,0,0,2
Covid cases by the looks of their celebrations,1.31E+18,05/10/2020 17:34,14,0,1
"Corona or no corona, staying away from people is always better.",1.31E+18,05/10/2020 17:16,0,0,2
I’m back with Marcus Paul 6am Sydney time talking - Europe continues to break records with its Covid-19 rates. - Why did President Trump leave hospital for a lap of honour - 1 year until Dubai’s Expo 2020,1.31E+18,05/10/2020 13:36,1,0,1
First 5k on the treadmill for a long time. Did the final km at my marathon pace from pre Covid. I felt like I needed oxygen and it wasn’t because of Covid symptoms.,1.31E+18,05/10/2020 13:27,2,0,2
"team, I am would like to take my mother in law from India to Abu Dhabi on 90 day visit visa as my wife is due for new baby. Is Abu Dhabi issuing visit visas And can I have my mother in law home quarantine as we have 2 bedrooms Need your help on rules and process pls",1.31E+18,05/10/2020 13:08,0,0,1
Look forward to this and expect to see improved market sentiment for travel.,1.31E+18,05/10/2020 11:32,0,0,1
"""This kind of reporting is impolite. It’s also totally obvious, and a natural feature of America’s recent slide toward gerontocracy."" How to Cover a Sick Old Man ",1.31E+18,05/10/2020 11:19,0,0,1
How Corona Changed us as a Society - Gleefulblogger -  via,1.31E+18,05/10/2020 10:38,0,0,1
Finally free from quarantine  @ W Abu Dhabi – Yas Island,1.31E+18,05/10/2020 9:01,18,2,2
With all hope and the belief in the promise by the concern facility I volunteered for covid 19 vaccine . I was promised for a privilege of unrestricted travel to Dubai and Abudhabi.. After completing my second dose the volunteer tag is missing,1.31E+18,05/10/2020 8:26,0,0,0
Here’s my theory. He’s faking it. He comes out of hospital and has had a eureka moment that covid is actually serious and ‘he’ll be seen to ‘ pull out all the stops to combat it.... until election is over.,1.31E+18,05/10/2020 6:17,0,0,0
"Hello Neighbours So very proud with the opening of caya restaurant in the heart of Opening a restaurant is a challenging task normally but developing, building and opening during COVID has been a heroic effort by the entire Alabbar Enterprises team. Just amazing ",1.31E+18,05/10/2020 4:13,1,0,2
You are very quite now a days script writer’s have gone in quarantine,1.31E+18,05/10/2020 3:29,0,0,1
"Oops, not only PH. We of course like to give credit where credit is due, the number also includes the paid tickets and accounts worldwide OFW count. Here's a sample from India. Coronavirus: Over 275,000 Indians repatriated from UAE amid COVID-19 ",1.31E+18,05/10/2020 1:05,0,0,1
"2020: Covid pandemic 1919: Spanish Flu pandemic 1818: Cholera worldwide 1717: Bubonic plague 1616: Unknown disease, but very definitely, semi-pandemic..... Notice a pattern ",1.31E+18,04/10/2020 18:47,0,0,0
"In the holy ministry of Repentance and holiness,there is an unquenchable, non-stop fire raging the reason why the cripples are walking whether there is corona virus or not",1.31E+18,04/10/2020 17:55,9,2,1
COVID free,1.31E+18,04/10/2020 17:25,0,0,2
"So, we’re supposed to believe that positive with overweighting aged 74, after around 72 hours in hospital, is ‘likely to be released as early as tomorrow’ Christ, they really are stupid over there, eh.",1.31E+18,04/10/2020 17:25,3,0,0
"IAESTE A.s.b.l recently met with all member countries to discuss the process of exchanging students for this academic year in lieu of COVID-19. On behalf of IAESTE UAE, Rana Kabbani, National Secretary and Head of CASTO, ",1.31E+18,04/10/2020 17:15,1,0,1
Has already begun purpose to tune in and partake the end time Message from They That Prophecied The CoronaVirus that is devastating Nations worldwide.,1.31E+18,04/10/2020 16:50,13,4,0
"Great, so to sum up 2020, the Apple Watch I already paid for has disappeared from “Order on the website. This means I can’t use the watch for the tennis sessions that are canceled because of COVID-19 scares. Hello, October ",1.31E+18,04/10/2020 16:42,1,0,0
"In line with official COVID-19 guidelines, all activities have been planned with additional safety and precautionary measures across the site, with fully equipped facilities and trained staff on hand to support visitors through emergencies or requests.",1.31E+18,04/10/2020 15:44,1,1,1
The continues,1.31E+18,04/10/2020 15:34,1,0,1
Our nation is suffering from two major pandemic crises. Covid is destroying the lives of our loved ones and the divisiveness is destroying the heart and soul of our nation. Now more than ever we need to come together and defeat both.,1.31E+18,04/10/2020 15:21,0,0,2
Yep i hate Covid I’m going to miss all the good Halloween parties this year. But at least they are still playing horror movies,1.31E+18,04/10/2020 14:34,2,1,0
Sneak peek some of our luxury × small cars. We got the suited vehicle for you  +971561114153 Follow us on Instagram: (,1.31E+18,04/10/2020 14:11,0,0,1
Ang consistent ng headache kapag may covid ka. Tolerable sya and you can function well pero it stays there.,1.31E+18,04/10/2020 14:07,0,0,0
"Missing Warm Weather and Pre Covid Travel // Looking forward to better times inshallah  x @ Atlantis, The Palm ",1.31E+18,04/10/2020 14:06,0,0,2
There is nothing “normal” anywhere anymore-not because of Covid which will go when it will but coz of disruptive changes that are shaping humanity in this 21st century-social media digital economy artificial intelligence and internationalization of fast efficient n discreet ICT,1.31E+18,04/10/2020 13:47,0,0,0
"The only negative thing I am accepting from now on is the COVID-19 test.  which Im really hoping will come back negative. Apart from that, only please. ",1.31E+18,04/10/2020 13:02,2,0,0
BBC News - Coronavirus: Australia opens 'travel zone' to New Zealanders,1.31E+18,04/10/2020 11:20,1,0,2
Please have a measured approach to handle Covid instead of just reacting. Bring in something like Alert Level system prevailing in NZ.,1.31E+18,04/10/2020 10:34,0,0,1
Engagement po I ONLY SUPPO MAYWARD,1.31E+18,04/10/2020 9:59,1,0,1
For the love of bikes. Use this quarantine time to sanitize your motorcycle and make it shine  via,1.31E+18,04/10/2020 9:55,1,0,1
Tunisia to ban all gatherings and reduce working hours for employees in public sector to stop rapid spread of Covid-19 Fears grew that hospitals in the country will unable to cope with high number of patients due to shortage of beds in intensive care units as cases rises,1.31E+18,04/10/2020 9:30,0,0,0
"Saudi Arabia has resumed for citizens and residents -7 months after it was suspended due to The capacity has been limited to 6,000 pilgrims per day. Every year, millions of international pilgrims visit to perform the pilgrimage. : Haramain ",1.31E+18,04/10/2020 8:43,23,7,1
"2 hours away. 92 days in Marriott properties last year and 2020 covid pandemic, but the dream is finally coming true. Cant wait",1.31E+18,04/10/2020 8:41,0,0,2
"Thankfully, Corona tests were negative but I’ve got a really bad flu ",1.31E+18,04/10/2020 7:57,0,0,0
"Hi, does this Flexi fare permit you to claim for full refund if there is a cancellation of flights due to the emerging situation of covid I am planning my trip to India with family by mid of November.",1.31E+18,04/10/2020 7:41,0,0,1
"If you happen to know someone with covid 19, be compassionate. Just simply avoiding or isolating them adds the mental torture which weakens their immune system. Furthermore dismissing their sickness or being quack Dr by giving them none scientific Advise won't help either.",1.31E+18,04/10/2020 7:20,0,1,2
"Trumps effected by Coronavirus A message from Biden to Trump, ""Stay Positive"" ",1.31E+18,04/10/2020 7:17,4,0,2
Americans turning up on IG just make me realise that Corona is going nowhere anytime soon lol,1.31E+18,04/10/2020 5:57,0,0,2
"Acceptance of diversity, humanity - Dalits, 3rd genders, every religion, language, state and c, is a state of the mind. Reflected in your everyday, ordinary actions. You don't have to do stupid, showy things like sharing a thali. Especially now, Covid-endangering both of you.",1.31E+18,04/10/2020 5:36,0,0,0
"As Colleges Open During a Pandemic, Student Life Remains Closed. ",1.31E+18,04/10/2020 3:07,0,0,0
Covid-19 or not...going hardcore starting today,1.31E+18,03/10/2020 20:24,0,0,1
"Ben, that's an insult to North Korea because it appears the North Korean leadership and people are doing a more respectable job in containing and preventing there...",1.31E+18,03/10/2020 20:20,0,0,2
Realizing it’s been almost a year that I haven’t been racing due to Covid-19,1.31E+18,03/10/2020 19:50,335,8,0
"Honorable Prime minister, Why economic is on going minus———- if your answer will be COVID-19. Then I will not accept this answer. Tell the reason to everyone.",1.31E+18,03/10/2020 18:40,0,0,0
"So priyanka went there breaking all rules of covid. These ppl like to get false footage, cheap",1.31E+18,03/10/2020 18:00,1,0,0
Risk of COVID-19 From Flying  via part of So air travel not a high risk affair,1.31E+18,03/10/2020 17:13,3,0,1
The US has gotten Covid plus Covidiots that won't wear masks. I'm hiding overseas in a country that adheres to the pandemic guidelines. Having a beer in a social distance compliant bar.,1.31E+18,03/10/2020 16:24,0,0,2
"After 3 LONG weeks in Dubai, we finally have our negative Covid tests and fly home Monday",1.31E+18,03/10/2020 16:15,4,0,2
"I dont think thats true. Its more like every 1000 daily covid deaths caused by his gross negligence and misinformation cause more voters to vote against him. 205k other Americans have died and he has not has anything to say about it other than"" it is what it is""",1.31E+18,03/10/2020 15:49,0,0,0
Let us know how to prevent from COVID-19 and stay safe To join,1.31E+18,03/10/2020 15:27,0,0,2
Im sure they wish there was a corona virus bunker he could have hid in. That seems to be his response to high risk situations that are started and instigated by Trump himself. Lets hope he recovers so he can be held accountable for his crimes.,1.31E+18,03/10/2020 15:09,0,0,0
